,TName,TPrice,TACPrice,TDesc,TOff
21,realme Pad 2 6 GB RAM 128 GB ROM 11.5 inch with 4G Tablet (Imagination Grey),"₹15,999","₹28,999","2K Display with up to 120Hz screen refresh rate33W SUPERVOOC Charger in-the-box
 MediaTek Helio G99 Chipsetrealme UI 4.0 for Pad
Dolby Atmos Quad Speaker with Hi-Res Certification8MP HD CameraUltra-slim Metallic Body Design6 GB RAM | 128 GB ROM | Expandable Upto 2 TB29.21 cm (11.5 inch) Full HD Display8 MP Primary Camera | 5 MP FrontAndroid 13 | Battery: 8360 mAh Lithium IonIdeal Usage: Entertainment, Gaming, Reading and Browsing, For Kids, BusinessVoice Call (Single Sim, 4G LTE TDD|4G LTE FDD|WCDMA|GSM)Processor: Mediatek G991 Year Domestic Warranty",44% off
22,SAMSUNG Galaxy Tab S9 FE+ 8 GB RAM 128 GB ROM 12.4 Inch with Wi-Fi Only Tablet (Gray),"₹46,999","₹55,999","8 GB RAM | 128 GB ROM31.5 cm (12.4 Inch) WQXGA Display8.0 MP Primary Camera | 12 MP FrontAndroid 12 | Battery: 10090 mAH Lithium IonIdeal Usage: Entertainment, Gaming, Reading and Browsing, For Kids, BusinessProcessor: Exynos 13801 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Batteries from the Date of Purchase",16% off
23,SAMSUNG Galaxy Tab A9+ 8 GB RAM 128 GB ROM 11.0 inch with Wi-Fi+5G Tablet (Silver),"₹24,999","₹32,999",8 GB RAM | 128 GB ROM27.94 cm (11.0 inch) WQXGA Display8 MP Primary Camera | 5 MP FrontAndroid 12 | Battery: 7040 mAH Lithium IonVoice Call (Single Sim)Processor: Snapdragon 6951 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,24% off
24,Lenovo Tab M10 FHD 3rd Gen 4 GB RAM 64 GB ROM 10.1 inch with 4G Tablet (Storm Grey),"₹12,999","₹30,000","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB25.65 cm (10.1 inch) Full HD Display8.0 MP Primary Camera | 5 MP FrontAndroid 11 | Battery: 5100 mAhIdeal Usage: Entertainment, Gaming, Reading and Browsing, For Kids, BusinessVoice Call (Single Sim)Processor: Unisoc T610 Octa Core Processor1 Year Warranty on Tablet including Battery",56% off
25,POCO Pad 5G 8 GB RAM 128 GB ROM 12.1 inch with Wi-Fi+5G Tablet (Cobalt Blue),"₹23,999","₹30,999","8.0 GB RAM | 128 GB ROM | Expandable Upto 1.5 TB30.73 cm (12.1 inch) Quad HD Display8 MP Primary Camera | 8 MP FrontAndroid 14 | Battery: 10000 mAh Lithium IonIdeal Usage: EntertainmentVoice Call (Dual Sim, 5G, 4G LTE, WCDMA, GSM)Processor: Snapdragon 7s Gen 21 Year Domestic Warranty",22% off
26,realme Pad 2 Lite 4 GB RAM 128 GB ROM 11.0 inch with 4G Tablet (Nebula Purple),"₹11,499","₹20,999","90Hz 2K Eye Comfort DisplayMediatek Helio G99 Chipset8300mAh Mega BatteryQuad Stereo Speakers with OReality Audio | realme UI 5.0 for Pad8MP AI Camera4G Network ConnectivityUltra Slim Design with a modern vegan leather look at the back4 GB RAM | 128 GB ROM | Expandable Upto 1 TB27.94 cm (11.0 inch) 2K Display8 MP Primary Camera | 5 MP FrontAndroid 13 | Battery: 8300 mAh Lithium IonIdeal Usage: Entertainment, Reading and Browsing, BusinessVoice Call (Single Sim, GSM|WDCMA| 4G LTE FDD|4G LTE TDD)Processor: Helio G99 Chipset1 Year Domestic Warranty",45% off
27,realme Pad 2 Lite 8 GB RAM 128 GB ROM 11.0 inch with 4G Tablet (Nebula Purple),"₹13,499","₹24,999","90Hz 2K Eye Comfort DisplayMediatek Helio G99 Chipset8300mAh Mega BatteryQuad Stereo Speakers with OReality Audio | realme UI 5.0 for Pad8MP AI Camera4G Network ConnectivityUltra Slim Design with a modern vegan leather look at the back8 GB RAM | 128 GB ROM | Expandable Upto 1 TB27.94 cm (11.0 inch) 2K Display8 MP Primary Camera | 5 MP FrontAndroid 13 | Battery: 8300 mAh Lithium IonIdeal Usage: Entertainment, Reading and Browsing, BusinessVoice Call (Single Sim, GSM|WDCMA| 4G LTE FDD|4G LTE TDD)Processor: Helio G99 Chipset1 Year Domestic Warranty",46% off
28,realme Pad 2 Lite 4 GB RAM 128 GB ROM 11.0 inch with 4G Tablet (Space Grey),"₹11,499","₹20,999","90Hz 2K Eye Comfort DisplayMediatek Helio G99 Chipset8300mAh Mega BatteryQuad Stereo Speakers with OReality Audio | realme UI 5.0 for Pad8MP AI Camera4G Network ConnectivityUltra Slim Design with a modern vegan leather look at the back4 GB RAM | 128 GB ROM | Expandable Upto 1 TB27.94 cm (11.0 inch) 2K Display8 MP Primary Camera | 5 MP FrontAndroid 13 | Battery: 8300 mAh Lithium IonIdeal Usage: Entertainment, Reading and Browsing, BusinessVoice Call (Single Sim, GSM|WDCMA| 4G LTE FDD|4G LTE TDD)Processor: Helio G99 Chipset1 Year Domestic Warranty",45% off
29,Lenovo Tab Plus 8 GB RAM 128 GB ROM 11.5 inch with Wi-Fi Only Tablet (Luna Grey),"₹19,999","₹32,000",8.0 GB RAM | 128 GB ROM29.21 cm (11.5 inch) 2K Display8.0 MP Primary Camera | 8 MP FrontAndroid 14 | Battery: 8600 mAhProcessor: Mediatek Helio G991 Year Warranty from Lenovo,37% off
30,realme Pad 2 Lite 8 GB RAM 128 GB ROM 11.0 inch with 4G Tablet (Space Grey),"₹13,499","₹24,999","90Hz 2K Eye Comfort DisplayMediatek Helio G99 Chipset8300mAh Mega BatteryQuad Stereo Speakers with OReality Audio | realme UI 5.0 for Pad8MP AI Camera4G Network ConnectivityUltra Slim Design with a modern vegan leather look at the back8 GB RAM | 128 GB ROM | Expandable Upto 1 TB27.94 cm (11.0 inch) 2K Display8 MP Primary Camera | 5 MP FrontAndroid 13 | Battery: 8300 mAh Lithium IonIdeal Usage: Entertainment, Reading and Browsing, BusinessVoice Call (Single Sim, GSM|WDCMA| 4G LTE FDD|4G LTE TDD)Processor: Helio G99 Chipset1 Year Domestic Warranty",46% off
